guid,tag
4432,positive
295,positive
1507,negative
2751,positive
2030,positive
931,negative
2036,positive
3388,positive
4160,negative
984,neutral
4249,positive
2552,neutral
4027,positive
2900,positive
1972,negative
410,positive
1119,positive
4787,positive
742,positive
1154,positive
4096,positive
2968,negative
1967,negative
1957,negative
2706,negative
979,positive
993,neutral
3125,negative
1872,neutral
161,positive
4148,neutral
3122,positive
2683,positive
2447,neutral
5044,positive
2739,positive
1325,positive
4901,negative
2126,negative
846,positive
4423,negative
2623,positive
4793,positive
3949,negative
2143,neutral
3104,positive
4848,negative
4547,positive
4888,negative
2426,positive
